ID;COMPLIMENT
1;Твоя доброта, широкое сердце и открытый разум не знает границ.
2;Твое свечение видно за версты и его тяжело скрывать, как бы ты не старался.
3;Ты настолько восхитителен, что люди рядом с тобой становятся лучше.
4;Ты истинный лидер.
5;Ты способен сходу объяснить самые сложные вещи даже ребенку.
6;Любой человек, пообщавшись с тобой, не может уйти непоумневшим.
7;Ты настолько крут, что способен менять судьбы людей в лучшую сторону, даже если они сопротивляются.
8;Ты надежда всего человечества.
9;Ты просто Мастер.....
10;Ты настолько профессионален и умен, что индусы тебя слушают открыв рты.
11;Твой нимб освещает все вокруг.
12;Ты удивительный человек!
13;Ты золото!
